obj           specfile                                                               teff   errhi_teff   errlo_teff   logg   errhi_logg   errlo_logg     av   errhi_av   errlo_av     rv   errhi_rv   errlo_rv         dl   errhi_dl   errlo_dl    fwhm   errhi_fwhm   errlo_fwhm    fsig   errhi_fsig   errlo_fsig           tau    errhi_tau    errlo_tau     fw   errhi_fw   errlo_fw        mu   errhi_mu   errlo_mu
sdssj121405   data/spectroscopy/mmt/sdssj121405-20150518-total.flm               33703.64       543.68       347.40   7.88         0.06         0.06   0.01       0.01       0.01   3.10       0.00       0.00    4054.21      32.30      38.63    6.33         1.98         2.19    5.52        11.62         2.70    1537.14001   2126.39026    672.65473   0.03       0.05       0.02   58.1123     0.0212     0.0145
sdssj130234   data/spectroscopy/gemini/sdssj130234-20130215-total.flm            40028.08      1377.14      1237.95   7.94         0.08         0.08   0.06       0.01       0.01   3.10       0.00       0.00    2942.73      38.98      42.12    2.27         2.01         1.31   16.33        12.61         4.74     627.03964    317.02605    100.86773   0.02       0.03       0.02   57.5925     0.0316     0.0325
sdssj131445   data/spectroscopy/gemini/sdssj131445-20130309-total.flm            43670.12      2812.40      2034.72   7.65         0.18         0.14   0.11       0.02       0.02   3.10       0.00       0.00    7574.00     177.44     141.61   16.49         3.44         5.77    7.33        13.65         4.01    1443.70148   1746.69951    671.28577   0.02       0.03       0.02   59.7152     0.0538     0.0442
sdssj131445   data/spectroscopy/mmt/sdssj131445-20150124-total.flm               42817.30      2370.59      1576.25   7.57         0.21         0.15   0.10       0.02       0.01   3.10       0.00       0.00    8480.29     257.72     156.62   16.53         4.94         7.99    3.96         5.77         2.31    7583.98535   6587.43781   4132.88197   0.03       0.05       0.02   59.6996     0.0476     0.0349
sdssj131445   data/spectroscopy/mmt/sdssj131445-20150518-total.flm               47580.75      3290.73      2517.72   7.58         0.20         0.17   0.13       0.02       0.02   3.10       0.00       0.00    8686.16     278.28     172.98   11.24         5.35         6.15    4.70         7.61         2.64    5777.54175   6813.61056   3220.90128   0.03       0.05       0.02   59.7890     0.0554     0.0459
sdssj151421   data/spectroscopy/gemini/sdssj151421-20130317-total.flm            28767.66       296.95       300.31   7.89         0.04         0.04   0.12       0.01       0.01   3.10       0.00       0.00    1166.51      11.15      10.65    5.05         0.37         0.37   48.85         0.91         3.18     507.21011     21.25889      5.70359   0.03       0.04       0.02   55.5849     0.0138     0.0141
sdssj155745   data/spectroscopy/mmt/sdssj155745-20150124-total.flm               56759.94      1787.22      2041.58   7.69         0.11         0.12   0.02       0.01       0.01   3.10       0.00       0.00    5617.25      79.04      68.65    5.41         4.23         3.09    3.77        10.51         2.69    2602.18860   4846.46146   1665.34119   0.03       0.05       0.02   58.4591     0.0248     0.0291
sdssj155745   data/spectroscopy/mmt/sdssj155745-20150518-total.flm               61604.56      3755.67      1797.01   7.60         0.08         0.10   0.04       0.01       0.01   3.10       0.00       0.00    4589.24      58.35      51.51    3.86         3.56         2.26    6.99        14.29         3.50    1896.98608   2359.61501    803.55125   0.03       0.04       0.02   58.5255     0.0476     0.0237
sdssj163800   data/spectroscopy/gemini/sdssj163800-20130408-total.flm            67027.84      4296.27      4068.49   7.36         0.14         0.13   0.22       0.01       0.01   3.10       0.00       0.00    7583.39     164.19     153.01    4.11         3.64         2.53    7.41        12.99         3.49    1047.76306   1379.40431    421.55261   0.02       0.04       0.02   59.7505     0.0515     0.0513
sdssj163800   data/spectroscopy/mmt/sdssj163800-20150518-total.flm               57180.70      4238.47      3931.48   7.63         0.25         0.24   0.20       0.01       0.02   3.10       0.00       0.00   10631.68     307.64     355.82    6.35         5.56         3.89    5.56         9.52         3.04    4451.87061   5422.70123   2211.08155   0.03       0.04       0.02   59.6163     0.0567     0.0573
sdssj172135   data/spectroscopy/gemini/sdssj172135-20130604-total.flm            21234.33       687.57       639.56   7.03         0.06         0.02   1.11       0.03       0.03   3.10       0.00       0.00    2965.12      38.33      36.55    2.62         1.25         1.08   10.36        14.20         5.29    1433.32794   1386.03691    628.53607   0.03       0.04       0.02   57.7416     0.0325     0.0290
