   OBJECT-NAME              FILTER    FITS-FILE               EXPTIME      BCKGRMS           X            Y           FMAG         ERRMAG           SKY          MJD   
                   GD-71    F336W    icmd51doq_flc.fits      1.5000        4.5104         245.8804     267.2809      17.7716       0.0033          3.294     56908.5997
                   GD-71    F336W    icmd51dpq_flc.fits      1.5000        4.5526         245.8617     267.3094      17.7707       0.0033          2.597     56908.6004
                   GD-71    F475W    icmd51dqq_flc.fits      0.8000        4.9150         245.8403     266.9427      17.2158       0.0035          2.075     56908.6014
                   GD-71    F475W    icmd51drq_flc.fits      0.8000        4.7934         245.8578     266.9492      17.2072       0.0035          1.205     56908.6021
                   GD-71    F475W    icmd51dsq_flc.fits      0.8000        4.8586         245.8265     266.9422      17.2070       0.0035          1.924     56908.6028
                   GD-71    F625W    icmd51dtq_flc.fits      1.6000        4.8703         245.7438     266.9451      17.8578       0.0033          1.702     56908.6038
                   GD-71    F625W    icmd51duq_flc.fits      1.6000        4.9211         245.7613     266.9640      17.8570       0.0033          2.543     56908.6045
                   GD-71    F625W    icmd51dvq_flc.fits      1.6000        4.8622         245.7082     266.9405      17.8584       0.0033          2.066     56908.6053
                   GD-71    F775W    icmd51dwq_flc.fits      5.0000        4.8730         245.9232     268.8041      18.9193       0.0030          2.224     56908.6062
                   GD-71    F775W    icmd51dxq_flc.fits      5.0000        4.7056         245.9106     268.7894      18.9203       0.0030          0.999     56908.6070
                   GD-71    F775W    icmd51dyq_flc.fits      5.0000        4.8648         245.9202     268.8070      18.9148       0.0030          2.118     56908.6077
                   GD-71    F775W    icmd51dzq_flc.fits      5.0000        4.8310         245.9200     268.8063      18.9211       0.0030          1.448     56908.6085
                   GD-71    F275W    icmd51e0q_flc.fits      1.5000        4.4996         283.9423     302.1113      17.9931       0.0037          2.865     56908.6096
                   GD-71    F275W    icmd51e1q_flc.fits      1.5000        4.4025         283.9510     302.1159      17.9902       0.0036          2.135     56908.6103
                   GD-71    F275W    icmd51e2q_flc.fits      1.5000        4.6299         283.9752     302.1281      17.9869       0.0037          3.184     56908.6110
                   GD-71    F336W    icmd51e3q_flc.fits      1.5000        4.5867         283.8651     302.8131      17.7700       0.0033          2.920     56908.6120
                   GD-71    F336W    icmd51e4q_flc.fits      1.5000        4.6422         283.8688     302.8212      17.7691       0.0033          3.604     56908.6128
                   GD-71    F336W    icmd51e5q_flc.fits      1.5000        4.6046         283.9001     302.8489      17.7654       0.0033          3.066     56908.6135
                   GD-71    F475W    icmd51e6q_flc.fits      0.8000        4.8702         283.8693     302.1354      17.1999       0.0035          1.717     56908.6145
                   GD-71    F475W    icmd51e7q_flc.fits      0.8000        4.8541         283.8869     302.1587      17.1992       0.0035          1.462     56908.6152
                   GD-71    F475W    icmd51e8q_flc.fits      0.8000        4.9036         283.9257     302.1744      17.1952       0.0035          1.921     56908.6159
                   GD-71    F625W    icmd51e9q_flc.fits      1.6000        4.8855         283.7633     302.1178      17.8471       0.0033          2.013     56908.6169
                   GD-71    F625W    icmd51eaq_flc.fits      1.6000        4.9336         283.7990     302.0983      17.8544       0.0033          2.440     56908.6176
                   GD-71    F625W    icmd51ebq_flc.fits      1.6000        4.8601         283.7572     302.0885      17.8479       0.0033          2.046     56908.6184
                   GD-71    F775W    icmd51ecq_flc.fits      5.0000        4.8938         283.8799     303.9082      18.9207       0.0030          2.190     56908.6595
                   GD-71    F775W    icmd51edq_flc.fits      5.0000        4.8219         283.8764     303.8934      18.9205       0.0030          1.782     56908.6602
                   GD-71    F775W    icmd51eeq_flc.fits      5.0000        4.8947         283.8651     303.9001      18.9188       0.0030          2.133     56908.6610
                   GD-71    F275W    icmd52ewq_flc.fits      2.0000        4.6208         265.0945     246.1966      17.9888       0.0031          4.268     57032.8264
                   GD-71    F275W    icmd52exq_flc.fits      2.0000        4.6989         265.0439     246.2219      17.9917       0.0032          4.738     57032.8271
                   GD-71    F275W    icmd52eyq_flc.fits      2.0000        4.6266         265.0923     246.1960      17.9954       0.0032          4.336     57032.8278
                   GD-71    F275W    icmd52ezq_flc.fits      2.0000        4.6614         265.0735     246.1870      17.9848       0.0031          4.545     57032.8285
                   GD-71    F336W    icmd52f0q_flc.fits      1.5000        4.5872         264.9951     246.8502      17.7744       0.0033          2.727     57032.8295
                   GD-71    F336W    icmd52f1q_flc.fits      1.5000        4.6450         265.0172     246.9091      17.7659       0.0033          3.239     57032.8303
                   GD-71    F336W    icmd52f2q_flc.fits      1.5000        4.5908         265.0303     246.8786      17.7769       0.0033          2.835     57032.8310
                   GD-71    F475W    icmd52f3q_flc.fits      0.8000        4.9312         264.9940     246.2205      17.2094       0.0035          1.788     57032.8731
                   GD-71    F475W    icmd52f4q_flc.fits      0.8000        4.8378         264.9743     246.1926      17.2074       0.0035          1.221     57032.8738
                   GD-71    F475W    icmd52f5q_flc.fits      0.8000        4.9083         264.9941     246.2277      17.2082       0.0035          2.148     57032.8745
                   GD-71    F625W    icmd52f6q_flc.fits      1.6000        4.9026         264.8874     246.2353      17.8484       0.0033          1.552     57032.8755
                   GD-71    F625W    icmd52f7q_flc.fits      1.6000        4.9223         264.9001     246.2014      17.8520       0.0033          2.603     57032.8762
                   GD-71    F625W    icmd52f8q_flc.fits      1.6000        4.8930         264.8610     246.1783      17.8544       0.0033          1.774     57032.8769
                   GD-71    F775W    icmd52f9q_flc.fits      5.0000        4.7160         265.0460     248.0178      18.9222       0.0030          2.025     57032.8779
                   GD-71    F775W    icmd52faq_flc.fits      5.0000        4.8558         265.0403     248.0097      18.9197       0.0030          1.660     57032.8787
                   GD-71    F775W    icmd52fbq_flc.fits      5.0000        4.8977         265.0283     248.0085      18.9145       0.0030          1.828     57032.8794
                   GD-71    F775W    icmd52fcq_flc.fits      5.0000        4.6534         265.0079     247.9914      18.9171       0.0030          0.833     57032.8802
                   GD-71    F275W    icmd52fdq_flc.fits      1.5000        4.6781         303.0430     281.6794      17.9951       0.0037          2.920     57032.8813
                   GD-71    F275W    icmd52feq_flc.fits      1.5000        4.4541         303.0394     281.7011      17.9954       0.0037          2.304     57032.8820
                   GD-71    F275W    icmd52ffq_flc.fits      1.5000        4.6656         303.0851     281.7140      18.0041       0.0037          2.947     57032.8827
                   GD-71    F336W    icmd52fgq_flc.fits      1.5000        4.6026         302.9583     281.9830      17.7774       0.0033          3.041     57032.8837
                   GD-71    F336W    icmd52fhq_flc.fits      1.5000        4.6631         302.9666     282.0034      17.7763       0.0033          3.411     57032.8844
                   GD-71    F336W    icmd52fiq_flc.fits      1.5000        4.5966         302.9827     282.0236      17.7723       0.0033          2.949     57032.8852
                   GD-71    F475W    icmd52fjq_flc.fits      0.8000        4.9239         302.9414     281.6570      17.1995       0.0035          1.717     57032.8862
                   GD-71    F475W    icmd52fkq_flc.fits      0.8000        4.8826         302.9164     281.6268      17.2107       0.0035          0.978     57032.8869
                   GD-71    F475W    icmd52flq_flc.fits      0.8000        4.8770         302.9790     281.7275      17.2078       0.0035          1.837     57032.8876
                   GD-71    F625W    icmd52fmq_flc.fits      1.6000        4.8709         302.8414     281.2805      17.8482       0.0033          1.948     57032.8886
                   GD-71    F625W    icmd52fnq_flc.fits      1.6000        4.9112         302.8781     281.7116      17.8558       0.0033          2.521     57032.8893
                   GD-71    F625W    icmd52foq_flc.fits      1.6000        4.8847         302.8665     281.7005      17.8557       0.0033          1.698     57032.8900
                   GD-71    F775W    icmd52fpq_flc.fits      5.0000        4.8537         303.0040     283.0864      18.9297       0.0031          2.085     57032.8910
                   GD-71    F775W    icmd52fqq_flc.fits      5.0000        4.8480         303.0000     283.0839      18.9254       0.0031          1.307     57032.8918
                   GD-71    F775W    icmd52frq_flc.fits      5.0000        4.9214         303.0096     283.0934      18.9274       0.0031          2.058     57032.8925
                   GD-71    F275W    icmd53lcq_flc.fits      2.0000        4.6716         255.1933     239.6564      18.0034       0.0032          3.600     57411.0874
                   GD-71    F275W    icmd53ldq_flc.fits      2.0000        4.6451         255.1283     239.5799      17.9976       0.0032          3.031     57411.0881
                   GD-71    F275W    icmd53leq_flc.fits      2.0000        4.7123         255.1795     239.6063      17.9951       0.0032          3.894     57411.0889
                   GD-71    F275W    icmd53lfq_flc.fits      2.0000        4.6351         255.2025     239.6443      17.9931       0.0031          2.717     57411.0896
                   GD-71    F336W    icmd53lhq_flc.fits      1.5000        4.6492         255.1204     239.9686      17.7751       0.0033          2.582     57411.0906
                   GD-71    F336W    icmd53liq_flc.fits      1.5000        4.6144         255.1511     239.9699      17.7749       0.0033          2.307     57411.0913
                   GD-71    F336W    icmd53ljq_flc.fits      1.5000        4.5048         255.1268     239.9677      17.7720       0.0033          2.420     57411.0921
                   GD-71    F475W    icmd53lkq_flc.fits      0.8000        4.8989         255.1454     239.2474      17.2079       0.0035          2.006     57411.0931
                   GD-71    F475W    icmd53llq_flc.fits      0.8000        4.8959         255.1221     239.2634      17.2104       0.0035          2.735     57411.0938
                   GD-71    F475W    icmd53lmq_flc.fits      0.8000        4.7518         255.1592     239.2572      17.2078       0.0035          1.991     57411.0945
                   GD-71    F625W    icmd53lnq_flc.fits      1.6000        4.9578         254.9903     239.1234      17.8566       0.0033          1.834     57411.1090
                   GD-71    F625W    icmd53loq_flc.fits      1.6000        4.8859         254.9632     239.1262      17.8574       0.0033          1.101     57411.1097
                   GD-71    F625W    icmd53lpq_flc.fits      1.6000        4.9465         254.9364     239.0948      17.8546       0.0033          2.041     57411.1105
                   GD-71    F775W    icmd53lqq_flc.fits      5.0000        4.8807         255.1300     240.9766      18.9228       0.0030          1.722     57411.1114
                   GD-71    F775W    icmd53lrq_flc.fits      5.0000        4.8868         255.1125     240.9716      18.9240       0.0031          2.644     57411.1122
                   GD-71    F775W    icmd53lsq_flc.fits      5.0000        4.8646         255.1167     240.9721      18.9249       0.0031          1.744     57411.1130
                   GD-71    F775W    icmd53ltq_flc.fits      5.0000        4.7337         255.1269     240.9800      18.9257       0.0031          2.280     57411.1137
                   GD-71    F275W    icmd53luq_flc.fits      1.5000        4.6360         293.1651     274.6800      17.9909       0.0037          2.982     57411.1148
                   GD-71    F275W    icmd53lvq_flc.fits      1.5000        4.6776         293.1240     274.6721      17.9939       0.0037          3.561     57411.1155
                   GD-71    F275W    icmd53lwq_flc.fits      1.5000        4.6251         293.1756     274.6572      18.0066       0.0037          2.849     57411.1162
                   GD-71    F336W    icmd53lxq_flc.fits      1.5000        4.6824         293.0529     274.9612      17.7785       0.0033          2.844     57411.1172
                   GD-71    F336W    icmd53lyq_flc.fits      1.5000        4.6131         293.0879     274.9840      17.7715       0.0033          2.315     57411.1180
                   GD-71    F336W    icmd53lzq_flc.fits      1.5000        4.6594         293.0900     274.9707      17.7825       0.0033          2.686     57411.1187
                   GD-71    F475W    icmd53m0q_flc.fits      0.8000        4.8617         293.0517     274.3118      17.2074       0.0035          2.122     57411.1197
                   GD-71    F475W    icmd53m1q_flc.fits      0.8000        4.9375         293.0672     274.2730      17.2057       0.0035          2.217     57411.1204
                   GD-71    F475W    icmd53m2q_flc.fits      0.8000        4.8823         293.0616     274.2742      17.2128       0.0035          1.606     57411.1211
                   GD-71    F625W    icmd53m3q_flc.fits      1.6000        4.9490         293.0407     274.2535      17.8682       0.0033          2.106     57411.1524
                   GD-71    F625W    icmd53m4q_flc.fits      1.6000        4.8995         293.0526     274.2502      17.8527       0.0033          1.000     57411.1531
                   GD-71    F625W    icmd53m5q_flc.fits      1.6000        4.9362         293.0534     274.2630      17.8669       0.0033          1.918     57411.1538
                   GD-71    F775W    icmd53m6q_flc.fits      5.0000        4.8772         293.1637     276.0696      18.9170       0.0030          2.056     57411.1548
                   GD-71    F775W    icmd53m7q_flc.fits      5.0000        4.9194         293.1580     276.0605      18.9223       0.0031          2.423     57411.1556
                   GD-71    F775W    icmd53m8q_flc.fits      5.0000        4.8757         293.1804     276.0602      18.9258       0.0031          1.932     57411.1563
                  GD-153    F275W    icmd61jiq_flc.fits      2.0000        4.5153         255.6974     257.1920      18.2009       0.0035          2.920     56972.9827
                  GD-153    F275W    icmd61jjq_flc.fits      2.0000        4.6767         255.7457     257.1779      18.2098       0.0035          4.091     56972.9834
                  GD-153    F275W    icmd61jkq_flc.fits      2.0000        4.5414         255.7023     257.1713      18.2075       0.0035          3.463     56972.9842
                  GD-153    F275W    icmd61jlq_flc.fits      2.0000        4.6686         255.7846     257.1577      18.2043       0.0035          3.827     56972.9849
                  GD-153    F336W    icmd61jmq_flc.fits      1.5000        4.6078         255.2560     257.8749      18.0078       0.0037          2.993     56972.9859
                  GD-153    F336W    icmd61jnq_flc.fits      1.5000        4.6565         255.2110     257.8592      18.0056       0.0037          3.277     56972.9866
                  GD-153    F336W    icmd61joq_flc.fits      1.5000        4.6011         255.2853     257.8796      17.9890       0.0037          2.615     56972.9873
                  GD-153    F475W    icmd61jpq_flc.fits      1.3000        4.8684         255.2956     257.1631      17.5054       0.0031          2.411     56972.9883
                  GD-153    F475W    icmd61jqq_flc.fits      1.3000        4.8233         255.2498     257.1387      17.5046       0.0031          1.795     56972.9891
                  GD-153    F475W    icmd61jrq_flc.fits      1.3000        4.8501         255.2359     257.1306      17.5061       0.0031          2.001     56972.9898
                  GD-153    F625W    icmd61jsq_flc.fits      1.6000        4.8288         255.1288     257.1062      18.1758       0.0039          1.080     56972.9908
                  GD-153    F625W    icmd61jtq_flc.fits      1.6000        4.9000         255.1213     257.0736      18.1775       0.0039          2.198     56972.9915
                  GD-153    F625W    icmd61juq_flc.fits      1.6000        4.8857         255.1731     257.1106      18.1682       0.0039          0.976     56972.9923
                  GD-153    F775W    icmd61jvq_flc.fits      5.0000        4.8941         255.7865     258.9535      19.2473       0.0036          2.026     56972.9932
                  GD-153    F775W    icmd61jwq_flc.fits      5.0000        4.8309         255.7769     258.9528      19.2518       0.0036          1.250     56972.9940
                  GD-153    F775W    icmd61jxq_flc.fits      5.0000        4.9024         255.7839     258.9697      19.2441       0.0036          1.708     56972.9947
                  GD-153    F775W    icmd61jyq_flc.fits      5.0000        4.7867         255.8093     258.9510      19.2519       0.0036          1.211     56972.9955
                  GD-153    F275W    icmd61jzq_flc.fits      1.5000        4.6678         293.8326     292.2668      18.2033       0.0041          2.770     56972.9966
                  GD-153    F275W    icmd61k0q_flc.fits      1.5000        4.6023         293.8447     292.2771      18.2062       0.0041          2.028     56972.9973
                  GD-153    F275W    icmd61k1q_flc.fits      1.5000        4.6546         293.7978     292.2358      18.2112       0.0041          2.589     56972.9980
                  GD-153    F336W    icmd61k2q_flc.fits      1.5000        4.5786         293.3044     292.9370      18.0014       0.0037          2.374     56972.9990
                  GD-153    F336W    icmd61k3q_flc.fits      1.5000        4.6425         293.7209     292.9551      18.0089       0.0037          2.953     56972.9998
                  GD-153    F336W    icmd61k4q_flc.fits      1.5000        4.5368         293.6951     292.9392      18.0034       0.0037          2.610     56973.0005
                  GD-153    F475W    icmd61kbq_flc.fits      0.8000        4.9143         293.7086     292.2199      17.5126       0.0041          1.579     56973.0015
                  GD-153    F475W    icmd61kcq_flc.fits      0.8000        4.8353         293.6915     292.2596      17.5036       0.0040          0.804     56973.0022
                  GD-153    F475W    icmd61kdq_flc.fits      0.8000        4.8891         293.7618     292.1886      17.4939       0.0040          1.607     56973.0029
                  GD-153    F625W    icmd61keq_flc.fits      1.6000        4.8077         293.2463     292.2032      18.1768       0.0039          1.367     56973.0039
                  GD-153    F625W    icmd61kfq_flc.fits      1.6000        4.9040         293.1884     292.5591      18.1621       0.0039          1.705     56973.0046
                  GD-153    F625W    icmd61kgq_flc.fits      1.6000        4.8852         293.1771     292.4664      18.1698       0.0039          1.321     56973.0054
                  GD-153    F775W    icmd61khq_flc.fits      5.0000        4.9076         293.8261     294.0142      19.2487       0.0036          1.742     56973.0063
                  GD-153    F775W    icmd61kiq_flc.fits      5.0000        4.8287         293.8447     294.0141      19.2476       0.0036          1.378     56973.0071
                  GD-153    F775W    icmd61kjq_flc.fits      5.0000        4.8886         293.8335     294.0202      19.2500       0.0036          2.039     56973.0078
                  GD-153    F275W    icmd62r9q_flc.fits      2.0000        4.6329         249.0591     250.1220      18.1985       0.0035          3.352     57163.9967
                  GD-153    F275W    icmd62raq_flc.fits      2.0000        4.6753         249.0764     250.1324      18.1988       0.0035          3.558     57163.9974
                  GD-153    F275W    icmd62rbq_flc.fits      2.0000        4.6359         249.0562     250.1279      18.2035       0.0035          3.090     57163.9981
                  GD-153    F275W    icmd62rcq_flc.fits      2.0000        4.6765         249.0359     250.1315      18.2078       0.0035          3.346     57163.9988
                  GD-153    F336W    icmd62rdq_flc.fits      1.5000        4.6091         248.9516     250.8328      18.0018       0.0037          2.252     57163.9998
                  GD-153    F336W    icmd62req_flc.fits      1.5000        4.6577         248.9413     250.8269      18.0034       0.0037          2.748     57164.0006
                  GD-153    F336W    icmd62rfq_flc.fits      1.5000        4.6178         248.9887     250.8332      17.9953       0.0037          2.212     57164.0013
